IDENTIFIER,CONCEPT_CODE,SHORT_URI,DEFINITION,DESCRIPTORS,PARENTS,value,PUBLIC_ID
"getNextPvId()","","CL_0000322","","","UBERON_0002048 UBERON_0000065","pneumocyte","cell_type"
"getNextPvId()","","CL_0000325","","","","stuff accumulating cell","cell_type"
"getNextPvId()","","CL_0007004","","","UBERON_0000922","premigratory neural crest cell","cell_type"
"getNextPvId()","","CL_0000011","","","","migratory trunk neural crest cell","cell_type"
"getNextPvId()","","CL_0000336","","","UBERON_0002369","adrenal medulla chromaffin cell","cell_type"
"getNextPvId()","","CL_0000342","","","","pigment cell (sensu Vertebrata)","cell_type"
"getNextPvId()","","CL_0000343","","","","visual pigment cell (sensu Vertebrata)","cell_type"
"getNextPvId()","","CL_0000349","","","","extraembryonic cell","cell_type"
"getNextPvId()","","CL_0000353","","","UBERON_0000922","blastoderm cell","cell_type"
"getNextPvId()","","CL_0000355","","","","multi-potent skeletal muscle stem cell","cell_type"
"getNextPvId()","","CL_0000358","","","","sphincter associated smooth muscle cell","cell_type"
"getNextPvId()","","CL_0000359","","","","vascular associated smooth muscle cell","cell_type"
"getNextPvId()","","CL_0000365","","","UBERON_0000922","zygote","cell_type"
"getNextPvId()","","CL_0000385","","","","prohemocyte (sensu Nematoda and Protostomia)","cell_type"
"getNextPvId()","","CL_0000387","","","","hemocyte (sensu Nematoda and Protostomia)","cell_type"
"getNextPvId()","","CL_0000388","","","","tendon cell","cell_type"
"getNextPvId()","","CL_0000394","","","","plasmatocyte","cell_type"
"getNextPvId()","","CL_0000391","","","","podocyte (sensu Diptera)","cell_type"
"getNextPvId()","","CL_0000393","","","","electrically responsive cell","cell_type"
"getNextPvId()","","CL_0000397","","","UBERON_0000045","ganglion interneuron","cell_type"
"getNextPvId()","","CL_0000402","","","","CNS interneuron","cell_type"
"getNextPvId()","","CL_0000404","","","","electrically signaling cell","cell_type"
"getNextPvId()","","CL_0000015","","","","male germ cell","cell_type"
"getNextPvId()","","CL_0000408","","","","male gamete","cell_type"
"getNextPvId()","","CL_0000412","","","","polyploid cell","cell_type"
"getNextPvId()","","CL_0000413","","","","haploid cell","cell_type"
"getNextPvId()","","CL_0000415","","","","diploid cell","cell_type"
"getNextPvId()","","CL_0000424","","","","excretory cell","cell_type"
"getNextPvId()","","CL_0000432","","","","reticular cell","cell_type"
"getNextPvId()","","CL_0000434","","","","eccrine cell","cell_type"
"getNextPvId()","","CL_0000437","","","UBERON_0000955","gonadtroph","cell_type"
"getNextPvId()","","CL_0000438","","","","luteinizing hormone secreting cell","cell_type"
"getNextPvId()","","CL_0000439","","","","prolactin secreting cell","cell_type"
"getNextPvId()","","CL_0000442","","","","follicular dendritic cell","cell_type"
"getNextPvId()","","CL_0000446","","","","chief cell of parathyroid gland","cell_type"
"getNextPvId()","","CL_0002334","","","","preadipocyte","cell_type"
"getNextPvId()","","CL_0000448","","","","white fat cell","cell_type"
"getNextPvId()","","CL_0002335","","","","brown preadipocyte","cell_type"
"getNextPvId()","","CL_0000449","","","","brown fat cell","cell_type"
"getNextPvId()","","CL_0000990","","","","conventional dendritic cell","cell_type"
"getNextPvId()","","CL_0000453","","","","Langerhans cell","cell_type"
"getNextPvId()","","CL_0000454","","","","epinephrine secreting cell","cell_type"
"getNextPvId()","","CL_0000458","","","","serotonin secreting cell","cell_type"
"getNextPvId()","","CL_0000459","","","","noradrenergic cell","cell_type"
"getNextPvId()","","CL_0000467","","","","adrenocorticotropic hormone secreting cell","cell_type"
"getNextPvId()","","CL_0000473","","","","defensive cell","cell_type"
"getNextPvId()","","CL_0000476","","","UBERON_0000955","thyrotroph","cell_type"
"getNextPvId()","","CL_0000484","","","","connective tissue type mast cell","cell_type"
"getNextPvId()","","CL_0000488","","","","visible light photoreceptor cell","cell_type"
"getNextPvId()","","CL_0000624","","","","CD4-positive, alpha-beta T cell","cell_type"
"getNextPvId()","","CL_0000896","","","","activated CD4-positive, alpha-beta T cell","cell_type"
"getNextPvId()","","CL_0000492","","","","CD4-positive helper T cell","cell_type"
"getNextPvId()","","CL_0000498","","","","inhibitory interneuron","cell_type"
"getNextPvId()","","CL_0000501","","","","granulosa cell","cell_type"
"getNextPvId()","","CL_0000503","","","","theca cell","cell_type"
"getNextPvId()","","CL_0000505","","","","substance P secreting cell","cell_type"
"getNextPvId()","","CL_0000506","","","","enkephalin secreting cell","cell_type"
"getNextPvId()","","CL_0000507","","","","endorphin secreting cell","cell_type"
"getNextPvId()","","CL_0000508","","","UBERON_0000945","type G enteroendocrine cell","cell_type"
"getNextPvId()","","CL_0000509","","","","gastrin secreting cell","cell_type"
"getNextPvId()","","CL_0000510","","","","paneth cell","cell_type"
"getNextPvId()","","CL_0000511","","","","androgen binding protein secreting cell","cell_type"
"getNextPvId()","","CL_0000513","","","UBERON_0000948","cardiac muscle myoblast","cell_type"
"getNextPvId()","","CL_0000515","","","","skeletal muscle myoblast","cell_type"
"getNextPvId()","","CL_0000516","","","","perineuronal satellite cell","cell_type"
"getNextPvId()","","CL_0000519","","","","phagocyte (sensu Nematoda and Protostomia)","cell_type"
"getNextPvId()","","CL_0000523","","","UBERON_0000922","mononuclear cytotrophoblast cell","cell_type"
"getNextPvId()","","CL_0000525","","","UBERON_0000922","syncytiotrophoblast cell","cell_type"
"getNextPvId()","","CL_0000526","","","","afferent neuron","cell_type"
"getNextPvId()","","CL_0000527","","","","efferent neuron","cell_type"
"getNextPvId()","","CL_0000528","","","","nitrergic neuron","cell_type"
"getNextPvId()","","CL_0000530","","","","primary neuron","cell_type"
